"","block","spp","ind","treatment","raw_total_length_m","mean_radius_mm","rld"
"57","B5","EMNI",17,"WD",0.776732,0.3175,0.000337772714029145
"58","B3","EMNI",18,"WD",0.2337647,0.254,0.000101655831307592
"59","B4","EMNI",19,"WW",NA,NA,NA
"60","B2","EMNI",20,"WW",0.8310457,0.5291667,0.000361391781941841
"61","B1","FERU",1,"WD",NA,NA,NA
"62","B4","FERU",2,"WW",NA,NA,NA
"63","B1","FERU",3,"WW",NA,NA,NA
"64","B4","FERU",4,"WD",NA,NA,NA
"65","B1","FERU",5,"WD",395.45,0.3158142,0.171966932948334
"66","B2","FERU",6,"WD",NA,NA,NA
"67","B3","FERU",7,"WW",NA,NA,NA
"68","B5","FERU",8,"WD",80.92482,0.4021657,0.0351912835878012
"69","B4","FERU",9,"WD",NA,NA,NA
"70","B5","FERU",10,"WD",426.249,0.2669214,0.185360306492083
"71","B5","FERU",11,"WW",NA,NA,NA
"72","B2","FERU",12,"WW",705.4376,0.3325103,0.306769352531125
"73","B3","FERU",13,"WD",NA,NA,NA
"74","B2","FERU",14,"WW",NA,NA,NA
"75","B3","FERU",15,"WD",NA,NA,NA
"76","B1","FERU",16,"WW",946.2674,0.3106156,0.411497540844593
"77","B5","FERU",17,"WW",NA,NA,NA
"78","B3","FERU",18,"WW",1283.186,0.3387693,0.558011280369808
"79","B2","FERU",19,"WD",NA,NA,NA
"80","B4","FERU",20,"WW",660.296,0.3006648,0.287138899881282
"81","B2","PLMA",1,"WW",41.35285,0.9216105,0.0179828620133329
"82","B3","PLMA",2,"WD",94.89495,0.7880412,0.0412663889335832
"83","B4","PLMA",3,"WW",21.24227,0.8455716,0.00923749657544671
"84","B3","PLMA",4,"WW",15.33618,0.8867714,0.00666915118913536
"85","B1","PLMA",5,"WW",108.0303,0.668649,0.0469784785851268
"86","B2","PLMA",6,"WD",51.73654,0.8081036,0.0224983540401031
"87","B4","PLMA",7,"WD",64.35026,0.898407,0.0279836056306179
"88","B5","PLMA",8,"WW",94.22134,0.7643064,0.040973460255613
"89","B4","PLMA",9,"WW",37.33216,0.6782637,0.0162344090416904
"90","B1","PLMA",10,"WD",35.97893,0.9093026,0.0156459381536548
"91","B1","PLMA",11,"WW",3.856778,0.508,0.00167717355853486
"92","B3","PLMA",12,"WW",31.72269,0.966252,0.0137950529881674
"93","B4","PLMA",13,"WD",49.26402,1.256469,0.0214231443269829
"94","B3","PLMA",14,"WD",15.33068,0.7501041,0.00666675943763399
"95","B5","PLMA",15,"WD",16.68742,0.7503214,0.00725675669799136
"96","B1","PLMA",16,"WD",10.35647,1.993308,0.004503655031158
"97","B2","PLMA",17,"WW",61.23639,0.8794463,0.0266294959492427
"98","B2","PLMA",18,"WD",44.4116,0.8836545,0.0193130019960253
"99","B5","PLMA",19,"WD",71.66483,0.9295,0.0311644481359558
"100","B5","PLMA",20,"WW",45.83807,1.34623,0.019933322316781
"101","B1","SC",1,"WD",NA,NA,NA
"102","B3","SC",2,"WD",NA,NA,NA
"103","B4","SC",3,"WD",NA,NA,NA
"104","B5","SC",4,"WW",NA,NA,NA
"105","B4","SC",5,"WW",NA,NA,NA
"106","B5","SC",6,"WW",NA,NA,NA
"107","B2","SC",7,"WD",NA,NA,NA
"108","B5","SC",8,"WD",NA,NA,NA
"109","B1","SC",9,"WW",NA,NA,NA
"110","B3","SC",10,"WW",NA,NA,NA
"111","B2","SC",11,"WD",NA,NA,NA
"112","B2","SC",12,"WW",NA,NA,NA
"113","B3","SC",13,"WD",NA,NA,NA
"114","B1","SC",14,"WW",NA,NA,NA
"115","B1","SC",15,"WD",NA,NA,NA
"116","B5","SC",16,"WD",NA,NA,NA
"117","B4","SC",17,"WW",NA,NA,NA
"118","B3","SC",18,"WW",NA,NA,NA
"119","B2","SC",19,"WW",NA,NA,NA
"120","B4","SC",20,"WD",NA,NA,NA
"121","B2","SEAC",1,"WW",12.49701,0.3577839,0.00543449862365573
"122","B2","SEAC",2,"WW",77.63286,0.3551287,0.0337597289928117
"123","B2","SEAC",3,"WD",101.2274,0.5571533,0.0440201428962806
"124","B3","SEAC",4,"WW",79.81616,0.4671008,0.0347091673660728
"125","B5","SEAC",5,"WW",122.0145,0.2716377,0.0530597024661132
"126","B5","SEAC",6,"WD",45.18508,0.3820709,0.0196493605326213
"127","B5","SEAC",7,"WD",171.0704,0.3446809,0.0743923429162843
"128","B4","SEAC",8,"WW",82.28427,0.3407412,0.0357824593293529
"129","B1","SEAC",9,"WW",67.10147,0.3267711,0.029180007566632
"130","B3","SEAC",10,"WW",104.0717,0.4228037,0.0452570263136151
"131","B1","SEAC",11,"WD",137.8725,0.4486385,0.0599557743404202
"132","B1","SEAC",12,"WW",10.10404,0.3175,0.00439388233452341
"133","B2","SEAC",13,"WD",146.6335,0.3513424,0.0637656170501441
"134","B4","SEAC",14,"WW",95.92276,0.3212031,0.0417133464082415
"135","B3","SEAC",15,"WD",97.8077,0.3703623,0.0425330387855121
"136","B4","SEAC",16,"WD",210.2064,0.4060495,0.0914111768721978
"137","B1","SEAC",17,"WD",28.04935,0.4089,0.0121976499954339
"138","B4","SEAC",18,"WD",107.7954,0.4603477,0.0468763290528229
"139","B3","SEAC",19,"WD",34.17079,0.3708634,0.0148596433246216
"140","B5","SEAC",20,"WW",126.3923,0.5018373,0.05496344968842
"141","B3","SEAL",1,"WD",143.2451,0.4202074,0.062292124179738
"142","B2","SEAL",2,"WW",199.9328,0.5005149,0.0869435590132068
"143","B3","SEAL",3,"WD",77.18946,0.3979329,0.0335669103354105
"144","B1","SEAL",4,"WD",263.8319,0.3692226,0.114730971442487
"145","B1","SEAL",5,"WW",68.03445,0.5685227,0.0295857268967677
"146","B5","SEAL",6,"WW",414.1716,0.3859624,0.180108281113426
"147","B1","SEAL",7,"WW",85.75552,0.5096282,0.0372919806746479
"148","B2","SEAL",8,"WD",202.8472,0.4400572,0.0882109263905861
"149","B3","SEAL",9,"WW",89.067,0.2870719,0.0387320238131477
"150","B4","SEAL",10,"WW",55.17126,0.3183135,0.02399198980679
"151","B4","SEAL",11,"WW",136.3572,0.4994758,0.0592968250585979
"152","B2","SEAL",12,"WD",222.5922,0.4748903,0.0967973142804959
"153","B2","SEAL",13,"WW",123.3309,0.4437518,0.0536321573163678
"154","B1","SEAL",14,"WD",253.7449,0.3706316,0.110344499188979
"155","B5","SEAL",15,"WW",48.77964,0.3514776,0.021212504946577
"156","B3","SEAL",16,"WW",236.7758,0.5299651,0.102965250025005
"157","B4","SEAL",17,"WD",185.4927,0.4737058,0.0806640806759525
"158","B5","SEAL",18,"WD",101.9293,0.4854867,0.0443253738742461
"159","B5","SEAL",19,"WD",217.9212,0.3413257,0.0947660649599708
"160","B4","SEAL",20,"WD",252.8429,0.3833187,0.109952251942755
"161","B4","SESE",1,"WD",331.8798,0.378737,0.144322547258835
"162","B4","SESE",2,"WW",256.6129,0.3254048,0.111591688880965
"163","B2","SESE",3,"WW",121.6722,0.2952933,0.0529108485499463
"164","B5","SESE",4,"WW",141.1419,0.3025858,0.061377518405615
"165","B5","SESE",5,"WD",404.2846,0.2952502,0.175808781641785
"166","B5","SESE",6,"WD",306.8392,0.3500771,0.133433294050627
"167","B2","SESE",7,"WD",286.8582,0.3535982,0.124744278278113
"168","B2","SESE",8,"WW",267.9632,0.3459529,0.116527524711142
"169","B1","SESE",9,"WW",328.6209,0.3139236,0.142905369264689
"170","B2","SESE",10,"WD",283.3583,0.2817296,0.123222298081815
"171","B3","SESE",11,"WD",325.3208,0.3399705,0.141470274877477
"172","B4","SESE",12,"WD",370.7218,0.3285012,0.161213531225403
"173","B3","SESE",13,"WW",193.416,0.3332811,0.0841096378888227
"174","B5","SESE",14,"WW",245.8483,0.2793569,0.106910552842488
"175","B4","SESE",15,"WW",274.5339,0.4327406,0.119384885000239
"176","B3","SESE",16,"WW",239.1849,0.487,0.104012880668995
"177","B3","SESE",17,"WD",228.6676,0.3476401,0.0994392864752975
"178","B1","SESE",18,"WD",352.0037,0.3340646,0.153073705083994
"179","B1","SESE",19,"WW",214.4651,0.3193873,0.0932631318029023
"180","B1","SESE",20,"WD",200.8133,0.3110199,0.0873264566853803
"181","B5","SITR",1,"WW",54.22426,0.6497066,0.0235801736846454
"182","B2","SITR",2,"WD",118.6772,0.5724386,0.0516084311414743
"183","B3","SITR",3,"WD",115.2234,0.4333092,0.0501064981713973
"184","B1","SITR",4,"WW",22.26636,0.6315439,0.00968283635636227
"185","B1","SITR",5,"WD",0.397256,0.4233316,0.000172752297168601
"186","B2","SITR",6,"WW",1.16531,0.550332,0.000506751262192497
"187","B1","SITR",7,"WD",24.17132,0.5581254,0.0105112347090978
"188","B3","SITR",8,"WW",29.53956,0.7625665,0.0128456885417709
"189","B5","SITR",9,"WD",67.63051,0.5721474,0.029410067969229
"190","B4","SITR",10,"WW",21.75485,0.4059727,0.00946039911809599
"191","B1","SITR",11,"WW",2.154513,1.038794,0.00093691994590293
"192","B4","SITR",12,"WD",62.21789,0.5569512,0.0270563148762595
"193","B3","SITR",13,"WW",28.97162,0.8999955,0.0125987119331005
"194","B3","SITR",14,"WD",34.98566,0.7645066,0.0152140008784251
"195","B5","SITR",15,"WD",85.43866,0.6325314,0.0371541896963345
"196","B4","SITR",16,"WD",99.97609,0.4002195,0.0434759933378849
"197","B4","SITR",17,"WW",0.52383,0.44,0.000227794761629348
"198","B2","SITR",18,"WW",39.0166,0.6687713,0.0169669112051383
"199","B5","SITR",19,"WW",48.93018,0.7455943,0.0212779693594889
"200","B2","SITR",20,"WD",61.82186,0.6050316,0.0268840957222437
"201","B5","SOBI",1,"WW",710.2308,0.3379282,0.308853742221372
"202","B2","SOBI",2,"WW",272.9449,0.407196,0.118693886248299
"203","B4","SOBI",3,"WW",695.5952,0.3712451,0.302489247989842
"204","B4","SOBI",4,"WD",301.8219,0.3880382,0.131251451358297
"205","B1","SOBI",5,"WD",244.8662,0.395238,0.106483472997126
"206","B4","SOBI",6,"WW",531.8152,0.3853713,0.231267236918206
"207","B4","SOBI",7,"WD",499.7193,0.3449993,0.217309888370434
"208","B5","SOBI",8,"WD",256.9285,0.3709315,0.111728931930752
"209","B2","SOBI",9,"WD",452.1811,0.3748917,0.196637240875468
"210","B3","SOBI",10,"WD",383.3335,0.4030837,0.166697904390821
"211","B1","SOBI",11,"WW",572.9255,0.3808654,0.249144622690329
"212","B5","SOBI",12,"WD",264.0952,0.3603786,0.114845471109816
"213","B2","SOBI",13,"WD",426.5495,0.3596324,0.18549098309684
"214","B3","SOBI",14,"WW",612.9356,0.3885143,0.266543571189396
"215","B2","SOBI",15,"WW",488.2135,0.4109124,0.212306431202355
"216","B3","SOBI",16,"WW",484.2122,0.3719902,0.210566410241915
"217","B1","SOBI",17,"WD",499.5283,0.4204597,0.217226829363751
"218","B5","SOBI",18,"WW",417.2671,0.3960604,0.181454402344786
"219","B3","SOBI",19,"WD",17.80388,0.3328276,0.00774226485821262
"220","B1","SOBI",20,"WW",348.047,0.3977,0.15135307905391
"221","B3","SYNO",1,"WW",337.4399,0.333297,0.146740434081154
"222","B2","SYNO",2,"WW",457.2411,0.4056812,0.198837652256726
"223","B3","SYNO",3,"WD",363.2355,0.3227019,0.157958009540914
"224","B5","SYNO",4,"WW",329.605,0.337223,0.14333331883787
"225","B4","SYNO",5,"WD",187.8129,0.3477783,0.0816730519184021
"226","B5","SYNO",6,"WD",339.412,0.3729318,0.147598029196763
"227","B3","SYNO",7,"WW",426.9953,0.3252886,0.185684845427623
"228","B5","SYNO",8,"WW",200.1651,0.3651445,0.0870445778993464
"229","B1","SYNO",9,"WD",373.6335,0.3586901,0.162479724470227
"230","B4","SYNO",10,"WD",321.104,0.5165417,0.139636540744574
"231","B1","SYNO",11,"WD",257.7895,0.3818535,0.112103349756694
"232","B3","SYNO",12,"WD",293.5903,0.360417,0.127671825602178
"233","B1","SYNO",13,"WW",237.9563,0.350377,0.10347860686998
"234","B1","SYNO",14,"WW",474.7828,0.3454409,0.206465904495188
"235","B4","SYNO",15,"WW",300.8998,0.3406424,0.130850463347495
"236","B2","SYNO",16,"WW",286.3709,0.3925629,0.124532369095092
"237","B2","SYNO",17,"WD",301.3894,0.3372643,0.131063372717508
"238","B4","SYNO",18,"WW",403.1504,0.3094962,0.175315558995812
"239","B2","SYNO",19,"WD",177.9258,0.3495814,0.0773735089603708
"240","B5","SYNO",20,"WD",116.2274,0.3768074,0.0505431015363742
"241","B1","VAMA",1,"WW",1.353143,0.338,0.000588433054875477
"242","B3","VAMA",2,"WW",NA,NA,NA
"243","B2","VAMA",3,"WD",NA,NA,NA
"244","B5","VAMA",4,"WD",NA,NA,NA
"245","B5","VAMA",5,"WD",0,NA,0
"246","B4","VAMA",6,"WD",NA,NA,NA
"247","B3","VAMA",7,"WD",2.268474,0.381,0.000986477471875177
"248","B4","VAMA",8,"WD",NA,NA,NA
"249","B2","VAMA",9,"WW",0.6497319,0.4021667,0.000282544954056628
"250","B2","VAMA",10,"WW",NA,NA,NA
"251","B5","VAMA",11,"WW",NA,NA,NA
"252","B3","VAMA",12,"WD",NA,NA,NA
"253","B4","VAMA",13,"WD",NA,NA,NA
"254","B4","VAMA",14,"WW",0.7576396,0.3386667,0.00032947011832647
"255","B1","VAMA",15,"WW",NA,NA,NA
"256","B1","VAMA",16,"WD",NA,NA,NA
"257","B2","VAMA",17,"WD",NA,NA,NA
"258","B3","VAMA",18,"WW",NA,NA,NA
"259","B1","VAMA",19,"WD",0.114173,0.2349,4.9649717121027e-05
"260","B1","VAMA",20,"WD",NA,NA,NA
